source,ref,value,footprint,
"controller","P3","PANEL_2","Connect:bornier2",
"controller","P2","PANEL_1","Connect:bornier2",
"controller","R9","10k","Discret:R3",
"controller","P4","DIAL","Connect:bornier3",
"controller","P1","POWER","Connect:bornier2",
"controller","U1","LM317T","Power_Integrations:TO-220",
"controller","R10","330","Discret:R3",
"controller","R11","1k","Discret:R3",
"controller","C2","0.1uF","Capacitors_ThroughHole:Capacitor4x3RM2.5",
"controller","C1","0.1uF","Capacitors_ThroughHole:Capacitor4x3RM2.5",
"controller","P5","SWITCH","Connect:bornier2",
"controller","U2","74HC595","Sockets_DIP:DIP-16__300",
"controller","R2","33R","Discret:R3",
"controller","R6","33R","Discret:R3",
"controller","P6","LED_DISPLAY","Pin_Headers:Pin_Header_Straight_2x08",
"controller","R4","33R","Discret:R3",
"controller","R3","33R","Discret:R3",
"controller","R7","33R","Discret:R3",
"controller","R8","33R","Discret:R3",
"controller","R5","33R","Discret:R3",
"controller","R1","33R","Discret:R3",
"controller","U3","Arduino_Pro_Micro","Cylindric:ArduinoProMicro",
"controller","Q1","BUZ11","Transistors_TO-220:TO-220_FET-GDS_Vertical",
"led_panels","D19","LED","LEDs:LED-5MM",
"led_panels","D20","LED","LEDs:LED-5MM",
"led_panels","R7","120","Discret:R3",
"led_panels","P1","CONN_2","Connect:bornier2",
"led_panels","D21","LED","LEDs:LED-5MM",
"led_panels","D13","LED","LEDs:LED-5MM",
"led_panels","D14","LED","LEDs:LED-5MM",
"led_panels","R5","120","Discret:R3",
"led_panels","D15","LED","LEDs:LED-5MM",
"led_panels","D7","LED","LEDs:LED-5MM",
"led_panels","D8","LED","LEDs:LED-5MM",
"led_panels","R3","120","Discret:R3",
"led_panels","D9","LED","LEDs:LED-5MM",
"led_panels","D1","LED","LEDs:LED-5MM",
"led_panels","D2","LED","LEDs:LED-5MM",
"led_panels","R1","120","Discret:R3",
"led_panels","D3","LED","LEDs:LED-5MM",
"led_panels","D37","LED","LEDs:LED-5MM",
"led_panels","D38","LED","LEDs:LED-5MM",
"led_panels","R13","120","Discret:R3",
"led_panels","D39","LED","LEDs:LED-5MM",
"led_panels","D31","LED","LEDs:LED-5MM",
"led_panels","D32","LED","LEDs:LED-5MM",
"led_panels","R11","120","Discret:R3",
"led_panels","D33","LED","LEDs:LED-5MM",
"led_panels","D25","LED","LEDs:LED-5MM",
"led_panels","D26","LED","LEDs:LED-5MM",
"led_panels","R9","120","Discret:R3",
"led_panels","D27","LED","LEDs:LED-5MM",
"led_panels","D61","LED","LEDs:LED-5MM",
"led_panels","D62","LED","LEDs:LED-5MM",
"led_panels","R21","120","Discret:R3",
"led_panels","D63","LED","LEDs:LED-5MM",
"led_panels","D55","LED","LEDs:LED-5MM",
"led_panels","D56","LED","LEDs:LED-5MM",
"led_panels","R19","120","Discret:R3",
"led_panels","D57","LED","LEDs:LED-5MM",
"led_panels","D49","LED","LEDs:LED-5MM",
"led_panels","D50","LED","LEDs:LED-5MM",
"led_panels","R17","120","Discret:R3",
"led_panels","D51","LED","LEDs:LED-5MM",
"led_panels","D43","LED","LEDs:LED-5MM",
"led_panels","D44","LED","LEDs:LED-5MM",
"led_panels","R15","120","Discret:R3",
"led_panels","D45","LED","LEDs:LED-5MM",
"led_panels","D79","LED","LEDs:LED-5MM",
"led_panels","D80","LED","LEDs:LED-5MM",
"led_panels","R27","120","Discret:R3",
"led_panels","D81","LED","LEDs:LED-5MM",
"led_panels","D73","LED","LEDs:LED-5MM",
"led_panels","D74","LED","LEDs:LED-5MM",
"led_panels","R25","120","Discret:R3",
"led_panels","D75","LED","LEDs:LED-5MM",
"led_panels","D67","LED","LEDs:LED-5MM",
"led_panels","D68","LED","LEDs:LED-5MM",
"led_panels","R23","120","Discret:R3",
"led_panels","D69","LED","LEDs:LED-5MM",
"led_panels","D103","LED","LEDs:LED-5MM",
"led_panels","D104","LED","LEDs:LED-5MM",
"led_panels","R35","120","Discret:R3",
"led_panels","D105","LED","LEDs:LED-5MM",
"led_panels","D97","LED","LEDs:LED-5MM",
"led_panels","D98","LED","LEDs:LED-5MM",
